Name ,Latitude,Longitude,geometry
Makimatu,-4.576455,39.2955167,POINT (-4.576455 39.2955167)
Kifungu Mwandege,-4.5833283,39.2933033,POINT (-4.5833283 39.2933033)
Kulijani,-4.5931217,39.295165,POINT (-4.5931217 39.295165)
Kombeni,-4.5958883,39.2973117,POINT (-4.5958883 39.2973117)
Lekeoni,-4.59734,39.2976367,POINT (-4.59734 39.2976367)
Dimbwini,-4.58648,39.3104567,POINT (-4.58648 39.3104567)
Kijambani,-4.585645,39.3113733,POINT (-4.585645 39.3113733)
Kigomacha,-4.594115,39.3045383,POINT (-4.594115 39.3045383)
Vunguvunguni,-4.5999467,39.3056783,POINT (-4.5999467 39.3056783)
Jasimba,-4.6055433,39.3069367,POINT (-4.6055433 39.3069367)
Mkimwi,-4.610755,39.3060283,POINT (-4.610755 39.3060283)
Kiwe,-4.6127233,39.3050967,POINT (-4.6127233 39.3050967)
Mchumi,-4.6090833,39.29866,POINT (-4.6090833 39.29866)
Fungu dume,-4.60642,39.2966683,POINT (-4.60642 39.2966683)
Mapangani,-4.5874983,39.26729,POINT (-4.5874983 39.26729)
Ndimuni,-4.5863317,39.2704033,POINT (-4.5863317 39.2704033)
Cheteni,-4.5874483,39.2708283,POINT (-4.5874483 39.2708283)
Kibuzi,-4.5972433,39.276765,POINT (-4.5972433 39.276765)
Rimbani,-4.60677,39.2796833,POINT (-4.60677 39.2796833)
Bumbu ya tope,-4.6100733,39.2791167,POINT (-4.6100733 39.2791167)
Bumbu ya nyota,-4.6115617,39.279755,POINT (-4.6115617 39.279755)
Jafuu,-4.6142533,39.280305,POINT (-4.6142533 39.280305)
Kijito Manyani,-4.61921,39.2882067,POINT (-4.61921 39.2882067)
Madenge,-4.61699,39.2915133,POINT (-4.61699 39.2915133)
Usuni,-4.6161333,39.2910417,POINT (-4.6161333 39.2910417)
Umbwiga,-4.61509,39.290585,POINT (-4.61509 39.290585)
Tunga,-4.613295,39.2912833,POINT (-4.613295 39.2912833)
Maraani,-4.6083933,39.2933383,POINT (-4.6083933 39.2933383)
